Situation ID,Situation Text,Choice 1 Text,to ID,Choice Text 2,to ID
start,You are walking down the street and everyone is speaking Chinese. You don't speak Chinese. ,Strip off and run,strip_off_run,Go into nearest shop,into_shop
into_shop,It's a noodle shop and the menu is in Chinese. ,Pick up some chopsticks,pickup_stick,Exclaim Udon my Udon,exclaim_udon
exclaim_udon,Everyone stops what they're doing and stares at you.,Strip off and run,strip_off_run,Explain yourself,explain_self
strip_off_run,You realise you're embarrassed so you jump into a fountain. ,Catch a goldfish,catch_goldfish,Collect all the coins,collect_coins
catch_goldfish,You catch a goldfish and you swallow it live.,Pose for a photo,pose_photo,Vomit it back up,vomit_fish
vomit_fish,The goldfish is in pieces and there is a watch inside.,Try to read the watch,read_watch,Give to a beggar,look_beggar
read_watch,"You notice that the watch has an address on the back, and you are surprised that it is written in English",Become distracted by your saturated nudity,saturated_nudity,Trudge on despite your exhibitionist condition,trudge_on
saturated_nudity,"You attempt to stop a passer by in hope that she will help you cover up. However , she screams and pushes you back! You stumble and fall, snapping your neck as you hit the bottom of the fountain. There you lay, saturated in your naked blood, dead, whilst onlookers laugh and point.",,,,
pickup_stick,You pick up the chopsticks and put them in your mouth like a walrus. You start to act like a walrus to the extent that the resteraunteur thinks you are a walrus. He advances toward you with a knife.,Fight back,fight_back,Smile and say Nihao,ni_hao
fight_back,"Suddenly, you remember that you know Krav Maga. You disarm the resteraunteur immediately and smile wickedly with the chopsticks still protruding from your mouth",Take a seat,take_seat,Strip off and run,strip_off_run
take_seat,"You take a seat at the nearest table, and order from the menu.",Order the first item,pizza_meal,Order the fourth item,walrus_meal
walrus_meal,"Not knowing what you're doing, you point at the fourth item on the menu, in hope that the restauranteur will know what you are doing. He hurridly backs away to the kitchen. After a few minutes, he returns to the table with a fried dish in his hand and says ""Walrus""",Take a bite,bite_walrus,Strip off and run,strip_off_run
ni_hao,"The restuaranteur is impressed with your attemps at Chinese, and offers you a seat",Take a seat,take_seat,Strip off and run,strip_off_run
end_worst_way,"Everyone far and wide realises that you are not one of them, an enormous engraged mob descends upon you, ripping you limb for limb, your screams of despair and drowned out by the chanting of them all ""Die Naked Man!""",,,,
end,That's the end.,,,,
explain_self,"You try to explain what you meant by ""Udon my Udon"", but your lack of ability to speak Chinese and the fact that Udon noodles are Japanese just lead to further confusion. Everyone in the room continues to stare at you.",Stand there awkwardly,stand_awkward,Look around,udon_look_around
stand_awkward,You stand there awkwardly. It is painfully quiet. Someone at the back of the room coughs…,Strip off and run,strip_off_run,Smack your lips,udon_smack_lips
udon_look_around,You look around and notice that everyone in the restaurant has sharp pointy teeth. They are licking their lips.,Leave the restaurant,leave_restaurant,Try to fit in,lizard_fit_in
udon_smack_lips,"You smack your lips, look at the ceiling and start to whistle.",Inhale,udon_inhale,,
udon_inhale,You inhale.,Exhale,udon_exhale,,
udon_exhale,"You begin to exhale and suddenly the front window of the shop crashes inwards with a loud bang, sending glass and debris flying everywhere. Five ninja-walruses jump through the door and charge at you.",Fight,ninja_fight,Strip off and run,strip_off_run
look_beggar,You notice a small man (or is it a chimp?) wearing nothing but a coat.,Use sign language,sign_chimp,Punch him,punch_chimp
sign_chimp,You attempt to use sign language to communicate with the man (chimp?). He appears either not to understand you or not to  want the watch.,Punch him,punch_chimp,Attempt to take the coat,take_coat_chimp
punch_chimp,"You punch the man (chimp?) in the face. He reacts swiftly, with lightning fast reflexes that only a chimp would have. The man is indeed a chimp. He is angry and he begins to claw at you and beat you with his large chimp fists.",Fight offensive,chimp_offensive,Fight defensive,chimp_defensive
chimp_offensive,"You swing at the chimp again, but he grabs your arm and rips it off. You begin to bleed everywhere, writhing in pain on the ground. You now only have one good arm.",Punch with other arm,chimp_punch_2,Kick him,chimp_kick
